Ville,Date appel,Date Rendez-vous,Delai rendez-vous,Tarif,Depassement d'honoraires
ALBI,26/09/12,30/09/13,369, 28.00  , -    
ALBI,26/09/12,03/06/13,250, 28.00  , -    
ALBI,26/09/12,03/06/13,250, 45.00  , 17.00  
ALENCON,25/09/12,24/11/12,60, 28.00  , -    
ALES,24/09/12,02/11/12,39, 40.00  , 12.00  
ALLAUCH,25/09/12,28/09/12,3, 50.00  , 22.00  
AMIENS,24/09/12,01/12/12,68, 30.00  , 2.00  
AMIENS,24/09/12,11/03/13,168, 48.00  , 20.00  
ANGERS,25/09/12,05/09/13,345, 28.00  , -    
ANGERS,25/09/12,19/12/12,85, 28.00  , -    
ANGERS,24/09/12,01/04/13,189, 43.00  , 15.00  
ANGERS,24/09/12,06/11/12,43, 40.00  , 12.00  
ANGERS,24/09/12,30/03/13,187, 70.00  , 42.00  
ANGERS,24/09/12,28/12/12,95, 42.00  , 14.00  
ANGOULEME,25/09/12,01/03/13,157, 28.00  , -    
ANGOULEME,25/09/12,01/02/13,129, 28.00  , -    
ANGOULEME,25/09/12,08/03/13,164, 28.00  , -    
ANGOULEME,24/09/12,29/10/12,35, 50.00  , 22.00  
ANGOULEME,24/09/12,18/02/13,147, 45.00  , 17.00  
ANNECY,25/09/12,01/03/13,157, 28.00  , -    
ANNECY,25/09/12,03/11/13,404, 28.00  , -    
ANNECY,25/09/12,25/05/13,242, 50.00  , 22.00  
ANNECY,25/09/12,04/01/13,101, 42.00  , 14.00  
ANNEMASSE,24/09/12,01/03/13,158, 40.00  , 12.00  
ARPAJON,26/09/12,01/04/13,187, 28.00  , -    
ARRAS,25/09/12,02/04/13,189, 28.00  , -    
ATHIS MONS,25/09/12,13/12/12,79, 55.00  , 27.00  
AURILLAC,26/09/12,01/02/13,128, 28.00  , -    
AURILLAC,26/09/12,30/05/13,246, 28.00  , -    
AURILLAC,26/09/12,05/03/13,160, 28.00  , -    
AURIOL,27/09/12,15/01/13,110, 45.00  , 17.00  
BERGERAC,25/09/12,15/04/13,202, 28.00  , -    
BERGERAC,25/09/12,01/11/13,402, 28.00  , -    
BERGERAC,25/09/12,09/10/12,14, 28.00  , -    
BERGERAC,25/09/12,27/09/12,2, 28.00  , -    
BOURG EN BRESSE,26/09/12,07/01/13,103, 42.00  , 14.00  
BOURGES,25/09/12,30/11/12,66, 40.00  , 12.00  
BOURGOIN JALLIEU,25/09/12,21/01/13,118, 45.00  , 17.00  
BRETIGNY SUR ORGE,26/09/12,26/11/12,61, 40.00  , 12.00  
BRUAY LA BUISSIERE,24/09/12,05/02/13,134, 28.00  , -    
CALAIS,26/09/12,07/03/13,162, 45.00  , 17.00  
CHANTILLY,26/09/12,23/11/12,58, 50.00  , 22.00  
CHATEAUROUX,25/09/12,01/04/13,188, 28.00  , -    
CHATEAUROUX,25/09/12,01/03/13,157, 28.00  , -    
CHATEAUROUX,25/09/12,02/01/14,464, 28.00  , -    
CHATEAUROUX,25/09/12,01/04/14,553, 28.00  , -    
CHATEAUROUX,25/09/12,05/10/12,10, 50.00  , 22.00  
CLERMONT FERRAND,24/09/12,18/10/12,24, 28.00  , -    
CLERMONT FERRAND,24/09/12,20/11/12,57, 28.00  , -    
CLERMONT FERRAND,24/09/12,26/11/12,63, 28.00  , -    
CLERMONT FERRAND,24/09/12,01/02/13,130, 28.00  , -    
CLERMONT FERRAND,24/09/12,30/03/13,187, 28.00  , -    
CLISSON,24/09/12,03/05/13,221, 28.00  , -    
CONFLANS STE HONORINE,27/09/12,29/11/12,63, 28.00  , -    
CREMIEU,25/09/12,05/10/12,10, 52.00  , 24.00  
DIEUZE,24/09/12,16/10/12,22, 28.00  , -    
DIGNE LES BAINS,24/09/12,18/12/12,85, 28.00  , -    
DOUAI,25/09/12,02/01/14,464, 28.00  , -    
DRAGUIGNAN,26/09/12,06/02/13,133, 40.00  , 12.00  
DUNKERQUE,25/09/12,01/06/13,249, 28.00  , -    
ELBEUF,26/09/12,30/10/13,399, 42.00  , 14.00  
ETAMPES,24/09/12,06/03/13,163, 28.00  , -    
ETAMPES,26/09/12,09/04/13,195, 35.00  , 7.00  
EVRY,24/09/12,08/02/13,137, 45.00  , 17.00  
EVRY,24/09/12,08/11/12,45, 45.00  , 17.00  
EVRY,24/09/12,22/10/12,28, 45.00  , 17.00  
FECAMP,27/09/12,13/03/13,167, 28.00  , -    
FONTAINEBLEAU,26/09/12,10/01/13,106, 50.00  , 22.00  
FONTAINEBLEAU,26/09/12,05/02/13,132, 55.00  , 27.00  
FONTAINEBLEAU,26/09/12,26/03/13,181, 55.00  , 27.00  
GARDANNE,26/09/12,16/10/12,20, 28.00  , -    
GIGNAC,26/09/12,19/11/12,54, 28.00  , -    
GRAY,24/09/12,26/11/12,63, 28.00  , -    
GRENOBLE,24/09/12,09/11/12,46, 28.00  , -    
GRENOBLE,24/09/12,01/05/13,219, 28.00  , -    
GRENOBLE,24/09/12,05/03/13,162, 28.00  , -    
GRENOBLE,24/09/12,28/02/13,157, 28.00  , -    
GRENOBLE,24/09/12,25/09/12,1, 28.00  , -    
HENIN BEAUMONT,26/09/12,01/03/14,521, 40.00  , 12.00  
ISSOUDUN,24/09/12,02/02/13,131, 28.00  , -    
L ISLE ADAM,27/09/12,05/02/13,131, 28.00  , -    
L ISLE ADAM,27/09/12,07/03/13,161, 32.50  , 4.50  
LA ROCHEFOUCAULD,25/09/12,17/12/12,83, 45.00  , 17.00  
LANNION,27/09/12,29/03/13,183, 28.00  , -    
LANNION,28/09/12,09/10/12,11, 28.00  , -    
LAVAUR,24/09/12,14/01/13,112, 28.00  , -    
LE PUY EN VELAY,26/09/12,15/03/13,170, 28.00  , -    
LE PUY EN VELAY,26/09/12,27/09/13,366, 28.00  , -    
LES ULIS,26/09/12,02/01/13,98, 50.00  , 22.00  
LILLEBONNE,24/09/12,18/03/13,175, 28.00  , -    
LIMOGES,25/09/12,04/03/13,160, 28.00  , -    
LIMOGES,24/09/12,02/02/13,131, 40.00  , 12.00  
LIMOGES,24/09/12,30/07/13,309, 50.00  , 22.00  
LIMOGES,25/09/12,02/04/13,189, 28.00  , -    
LIMOGES,25/09/12,02/04/13,189, 28.00  , -    
MANTES LA JOLIE,26/09/12,01/02/13,128, 28.00  , -    
MANTES LA JOLIE,26/09/12,01/02/13,128, 28.00  , -    
MANTES LA JOLIE,26/09/12,30/10/12,34, 45.00  , 17.00  
MAUBEUGE,26/09/12,29/01/13,125, 28.00  , -    
MAUBEUGE,26/09/12,28/10/13,397, 28.00  , -    
MEAUX,26/09/12,18/12/12,83, 28.00  , -    
MEAUX,25/09/12,22/11/12,58, 39.00  , 11.00  
MEAUX,25/09/12,02/01/13,99, 50.00  , 22.00  
MELUN,27/09/12,21/03/13,175, 28.00  , -    
MELUN,25/09/12,02/11/12,38, 50.00  , 22.00  
METZ,25/09/12,01/02/13,129, 28.00  , -    
METZ,25/09/12,04/03/13,160, 28.00  , -    
METZ,25/09/12,02/11/13,403, 28.00  , -    
METZ CEDEX 3,25/09/12,01/10/12,6, 77.00  , 49.00  
MILLAU,24/09/12,02/11/12,39, 28.00  , -    
MONTAUBAN DE BRETAGNE,26/09/12,02/11/12,37, 28.00  , -    
MONTBELIARD,26/09/12,02/04/13,188, 28.00  , -    
MONTBRISON,25/09/12,26/11/13,427, 28.00  , -    
MONTBRISON,25/09/12,22/11/13,423, 28.00  , -    
MONTDIDIER,24/09/12,27/10/12,33, 28.00  , -    
MONTLUCON,26/09/12,16/04/13,202, 28.00  , -    
MONTLUCON,26/09/12,16/10/12,20, 28.00  , -    
MONTLUCON,26/09/12,12/10/12,16, 28.00  , -    
MONTLUEL,24/09/12,14/11/12,51, 28.00  , -    
MONTREUIL,24/09/12,19/10/12,25, 28.00  , -    
MONTREUIL,24/09/12,14/12/12,81, 28.00  , -    
MULHOUSE,25/09/12,15/03/13,171, 28.00  , -    
MULHOUSE,25/09/12,16/10/12,21, 28.00  , -    
MULHOUSE,25/09/12,18/01/13,115, 28.00  , -    
NIVILLAC,24/09/12,05/11/12,42, 28.00  , -    
NIVILLAC,26/09/12,12/10/12,16, 33.00  , 5.00  
NOGENT LE ROTROU,24/09/12,29/04/13,217, 28.00  , -    
PARIS,24/09/12,17/10/12,23, 64.00  , 36.00  
PARIS,24/09/12,08/10/12,14, 70.00  , 42.00  
PARIS,24/09/12,03/10/12,9, 60.00  , 32.00  
PARIS,24/09/12,24/09/12,0, 60.00  , 32.00  
PARIS,24/09/12,09/10/12,15, 55.00  , 27.00  
PARIS,24/09/12,28/09/12,4, 80.00  , 52.00  
PAU,26/09/12,29/05/13,245, 28.00  , -    
PAU,26/09/12,28/02/13,155, 28.00  , -    
PAU,26/09/12,28/02/13,155, 28.00  , -    
PAU,26/09/12,27/09/12,1, 28.00  , -    
PAU,26/09/12,16/04/13,202, 28.00  , -    
PAU,26/09/12,01/02/13,128, 45.50  , 17.50  
POISSY,24/09/12,26/11/12,63, 28.00  , -    
PORNIC,25/09/12,08/01/13,105, 28.00  , -    
PORNIC,25/09/12,05/10/12,10, 28.00  , -    
PRIVAS,26/09/12,17/01/13,113, 45.00  , 17.00  
RAMBOUILLET,26/09/12,08/10/12,12, 55.00  , 27.00  
RAMBOUILLET,27/09/12,15/10/12,18, 55.00  , 27.00  
RAMBOUILLET,27/09/12,09/10/12,12, 52.50  , 24.50  
ROANNE,25/09/12,15/12/13,446, 45.00  , 17.00  
ROANNE,25/09/12,30/09/13,370, 36.00  , 8.00  
ROANNE,25/09/12,01/03/13,157, 39.00  , 11.00  
RODEZ,26/09/12,02/10/13,371, 28.00  , -    
ROMILLY SUR SEINE,26/09/12,07/11/12,42, 43.00  , 15.00  
ROUBAIX,25/09/12,29/11/12,65, 28.00  , -    
RUFFEC,24/09/12,10/12/12,77, 28.00  , -    
SALBRIS,24/09/12,01/07/13,280, 28.00  , -    
SARCELLES,25/09/12,26/11/12,62, 28.00  , -    
SARLAT LA CANEDA,24/09/12,01/02/13,130, 38.00  , 10.00  
SARREBOURG,25/09/12,14/01/13,111, 28.00  , -    
SAVERNE,25/09/12,01/02/13,129, 45.00  , 17.00  
SAVERNE,25/09/12,01/03/13,157, 50.00  , 22.00  
SCHIRMECK,24/09/12,11/12/12,78, 28.00  , -    
SETE,25/09/12,02/12/12,68, 28.00  , -    
SETE,25/09/12,02/01/13,99, 28.00  , -    
SETE,25/09/12,02/01/13,99, 50.00  , 22.00  
ST CALAIS,26/09/12,20/11/12,55, 42.50  , 14.50  
ST ETIENNE,25/09/12,30/09/12,5, 28.00  , -    
ST ETIENNE,25/09/12,02/07/13,280, 28.00  , -    
ST ETIENNE,25/09/12,14/02/13,142, 28.00  , -    
ST ETIENNE,25/09/12,22/10/12,27, 50.00  , 22.00  
ST ETIENNE,25/09/12,01/06/13,249, 40.00  , 12.00  
ST ETIENNE,25/09/12,30/11/12,66, 50.00  , 22.00  
ST ETIENNE DE MONTLUC,25/09/12,29/03/13,185, 28.00  , -    
ST GEREON,27/09/12,11/02/13,137, 35.00  , 7.00  
ST LOUIS,27/09/12,29/01/13,124, 28.00  , -    
ST LOUIS,26/09/12,05/10/12,9, 50.00  , 22.00  
ST MALO,25/09/12,09/10/12,14, 28.00  , -    
ST MALO,25/09/12,03/10/12,8, 45.00  , 17.00  
ST MALO,25/09/12,12/11/12,48, 40.00  , 12.00  
ST MARCELLIN,27/09/12,13/12/12,77, 50.00  , 22.00  
ST PONS DE THOMIERES,26/09/12,25/10/12,29, 42.50  , 14.50  
ST PRIEST,25/09/12,04/01/13,101, 28.00  , -    
ST PRIEST,25/09/12,02/09/13,342, 45.00  , 17.00  
ST REMY DE PROVENCE,24/09/12,29/01/13,127, 28.00  , -    
ST REMY LES CHEVREUSE,26/09/12,29/09/12,3, 60.00  , 32.00  
SUCY EN BRIE,27/09/12,02/10/12,5, 28.00  , -    
THIONVILLE,26/09/12,01/12/12,66, 28.00  , -    
TOULOUSE,24/09/12,06/11/12,43, 50.00  , 22.00  
TOULOUSE,24/09/12,26/11/12,63, 45.00  , 17.00  
TOULOUSE,24/09/12,05/11/12,42, 40.00  , 12.00  
TOULOUSE,24/09/12,23/10/12,29, 45.00  , 17.00  
TOULOUSE,24/09/12,07/01/13,105, 50.00  , 22.00  
TOULOUSE,24/09/12,27/03/13,184, 40.00  , 12.00  
TOULOUSE,24/09/12,26/10/12,32, 50.00  , 22.00  
TOULOUSE,24/09/12,22/10/12,28, 41.00  , 13.00  
TOURCOING,24/09/12,27/06/13,276, 32.50  , 4.50  
TRETS,26/09/12,28/09/12,2, 47.00  , 19.00  
TULLE,25/09/12,03/10/13,373, 28.00  , -    
USSEL,25/09/12,15/03/13,171, 28.00  , -    
USSEL,24/09/12,02/02/13,131, 28.00  , -    
VALENCIENNES,26/09/12,12/10/12,16, 28.00  , -    
VALENCIENNES,26/09/12,27/10/12,31, 45.00  , 17.00  
VANNES,25/09/12,22/10/12,27, 28.00  , -    
VANNES,24/09/12,30/11/12,67, 29.00  , 1.00  
VANNES,24/09/12,15/11/12,52, 33.00  , 5.00  
VERDUN,26/09/12,01/12/13,431, 37.00  , 9.00  
VERNON,25/09/12,29/11/12,65, 28.00  , -    
VESOUL,26/09/12,02/01/13,98, 40.00  , 12.00  
VESOUL,26/09/12,02/01/13,98, 40.00  , 12.00  
VIENNE,26/09/12,28/03/13,183, 28.00  , -    
VIENNE,26/09/12,02/04/13,188, 28.00  , -    
VIENNE,26/09/12,01/04/13,187, 40.00  , 12.00  
VILLEFRANCHE SUR SAONE,26/09/12,02/04/13,188, 28.00  , -    
VILLEPINTE,27/09/12,25/02/13,151, 28.00  , -    
